Iteration,Train_loss,Valid_loss,Current_accuracy,Current_norm_ED
[470/300000],0.34629,0.46944,82.707,0.95
[471/300000],0.40004,0.55042,84.211,0.93
[472/300000],0.48206,0.56520,83.459,0.95
[473/300000],0.52157,1.00302,72.180,0.93
[474/300000],0.89064,0.59534,85.714,0.96
[475/300000],0.37750,0.47270,79.699,0.96
[476/300000],0.47125,0.71208,79.699,0.94
[477/300000],0.74047,0.83860,74.436,0.94
[478/300000],0.73733,0.68111,72.180,0.92
[479/300000],1.18751,0.45927,67.669,0.96
[480/300000],0.44361,0.52169,81.203,0.98
[481/300000],0.73970,0.64207,68.421,0.95
[482/300000],0.47232,0.52195,77.444,0.94
[483/300000],0.36964,0.62134,84.211,0.96
[484/300000],0.43886,0.48846,78.947,0.95
[485/300000],0.52639,0.55390,78.947,0.95
[486/300000],0.34887,0.40730,84.962,0.98
[487/300000],0.35755,0.45331,84.962,0.97
[488/300000],0.48806,0.45057,83.459,0.95
[489/300000],0.47077,0.42014,84.962,0.94
[490/300000],0.42320,0.39286,78.947,0.98
[491/300000],0.53003,0.41777,85.714,0.99
[492/300000],0.34389,0.40942,84.962,0.99
[493/300000],0.36458,0.52679,84.211,0.96
[494/300000],1.90219,0.38311,85.714,0.98
[495/300000],0.59895,0.32403,86.466,0.98
[496/300000],0.32491,0.35369,86.466,0.97
[497/300000],0.39712,0.44860,85.714,0.97
[498/300000],0.48698,0.40387,84.211,0.97
[499/300000],0.44891,0.65222,78.947,0.97
[500/300000],0.47702,0.68391,79.699,0.96
[501/300000],0.63841,1.03527,70.677,0.93
[502/300000],0.55274,0.49086,69.173,0.96
[503/300000],0.45654,0.42847,79.699,0.97
[504/300000],0.43790,0.40015,93.233,0.99
[505/300000],0.57521,0.58011,85.714,0.95
[506/300000],0.33395,0.54005,84.211,0.96
[507/300000],0.52007,0.46260,89.474,0.97
[508/300000],0.31081,0.54319,83.459,0.97
[509/300000],0.36820,0.50216,78.947,0.96
[510/300000],0.35580,0.59587,83.459,0.96
[511/300000],0.32906,0.86245,85.714,0.92
[512/300000],0.41149,0.50010,86.466,0.95
[513/300000],0.37738,0.33422,85.714,0.98
[514/300000],0.35087,0.40705,89.474,0.99
[515/300000],0.41963,0.30098,85.714,0.99
[516/300000],0.39538,0.58549,77.444,0.99
[517/300000],0.37898,0.51508,84.962,0.98
[518/300000],0.40406,0.51625,79.699,0.98
[519/300000],0.51593,0.44958,84.962,0.97
[520/300000],0.36131,0.39922,83.459,0.98
[521/300000],0.41517,0.56148,72.180,0.97
[522/300000],0.38288,0.35611,78.947,0.98
[523/300000],0.39263,0.36792,85.714,0.99
[524/300000],0.45708,0.49868,77.444,0.98
[525/300000],0.35018,0.47184,80.451,0.98
[526/300000],0.44018,0.47148,84.962,0.99
[527/300000],0.37302,0.53036,79.699,0.98
[528/300000],0.33411,0.45649,85.714,0.99
[529/300000],0.24698,0.40751,85.714,0.99
[530/300000],0.33035,0.31093,86.466,0.99
[531/300000],0.25685,0.37689,85.714,0.99
[532/300000],0.32856,0.30033,91.729,0.99
[533/300000],0.15182,0.28463,84.211,0.98
[534/300000],0.28891,0.34488,85.714,0.98
[535/300000],0.25395,0.28808,99.248,1.00
[536/300000],0.21840,0.39216,87.218,0.98
[537/300000],0.33796,0.24674,88.722,0.99
[538/300000],0.31598,0.26479,100.000,1.00
[539/300000],0.26660,0.26990,100.000,1.00
[540/300000],0.28339,0.27213,100.000,1.00
[541/300000],0.30621,0.24901,100.000,1.00
[542/300000],0.30754,0.21400,100.000,1.00
[543/300000],0.21474,1.18986,84.211,0.89
[544/300000],0.74306,0.32079,96.241,0.98
[545/300000],0.29755,0.26688,96.241,0.98
[546/300000],0.26555,0.36151,88.722,0.98
[547/300000],0.22660,0.46486,88.722,0.96
[548/300000],0.24898,0.35785,84.962,0.98
[549/300000],0.32791,0.69472,78.195,0.97
[550/300000],0.41791,0.63935,78.947,0.98
[551/300000],0.57318,0.85987,72.180,0.96
[552/300000],0.45886,0.49736,78.947,0.98
[553/300000],0.37825,0.42658,92.481,0.99
[554/300000],0.31297,0.62315,87.218,0.91
[555/300000],0.81447,1.06483,78.195,0.89
[556/300000],0.52846,0.53605,86.466,0.95
[557/300000],0.57183,0.42536,87.970,0.97
[558/300000],0.22499,0.33968,91.729,0.98
[559/300000],0.24129,0.33036,89.474,0.98
[560/300000],0.55339,0.23481,93.985,1.00
[561/300000],0.23397,0.26746,98.496,0.99
[562/300000],0.25781,0.24804,99.248,1.00
[563/300000],0.22152,0.24119,100.000,1.00
[564/300000],0.27930,0.22922,100.000,1.00
[565/300000],0.21981,0.21573,100.000,1.00
[566/300000],0.20067,0.23497,100.000,1.00
[567/300000],0.26590,0.21994,100.000,1.00
[568/300000],0.25203,0.22557,100.000,1.00
[569/300000],0.22861,0.22256,100.000,1.00
[570/300000],0.23665,0.20556,99.248,0.99
[571/300000],0.19928,0.20091,99.248,0.99
[572/300000],0.08541,0.23670,99.248,0.99
[573/300000],0.14971,0.19198,100.000,1.00
[574/300000],0.26864,0.19143,100.000,1.00
[575/300000],0.24600,0.22537,99.248,1.00
[576/300000],0.17449,0.21672,99.248,1.00
[577/300000],0.23129,0.29556,99.248,0.99
[578/300000],0.25705,0.42522,85.714,0.99
